CÓDIGO,NOMBRE,CREDITOS,TIPO
AES105,ESCENICAS I,4,BÁSICA
AES106,ESCENICAS II,4,BÁSICA
AES110,EXPRESIÓN TEATRAL,4,BÁSICA
AES111,PINTURA,4,BÁSICA
AES115,EXPRESION CORPORAL,4,BÁSICA
AES116,DICCION Y LECT. EXPRES.,4,BÁSICA
AES117,DECLAMACION Y LECTURA INTERPRETATIVA,4,BÁSICA
AES125,ACTUACION I,4,BÁSICA
AES128,ANIMACION I,4,ESPECIALIZACIÓN
AES130,ANIMACION II,4,ESPECIALIZACIÓN
AES151,COREOGRAFIA,4,BÁSICA
AES154,MAQUILLAJE,4,BÁSICA
AES155,MAQUILLAJE Y VESTUARIO,4,BÁSICA
AES156,VESTUARIO,4,ESPECIALIZACIÓN
AES165,DRAMATURGIA I,4,BÁSICA
AES175,ACTUACION II,4,BÁSICA
AES181,TÉCNICA DE LA VOZ,4,BÁSICA
AES185,PRODUCCION I,4,BÁSICA
AES250,AEROGRAFIA,4,BÁSICA
AES275,GUIONES PARA T.V.,4,BÁSICA
AES285,PRACTICAS ESCENICAS,4,BÁSICA
ALI110,TECNICAS DE BARES Y ENOLOGIA,4,BÁSICA
ALI111,TECNICA DE BAR Y ENOLOGIA,4,BÁSICA
ALI112,ENOLOGIA Y CATACIÓN,4,ESPECIALIZACIÓN
ARH205,HISTORIA DEL ARTE 2,3,BÁSICA
ARH311,EVALUACION Y CONTROL DE LA GESTION DE RECURSOS HUMANO,4,BÁSICA
ARH321,SISTEMAS DE NEG. Y MANEJO DE CONFLICTOS,4,BÁSICA
ARH331,GESTION DE CALIDAD DE RECURSOS HUMANO,4,BÁSICA
ARH341,PSICOLOGIA INDUSTRIAL,4,BÁSICA
ARH351,POLITICAS Y ESTRATEGIAS DE RECURSOS HUMANOS,4,BÁSICA
ARQ100,ARQUEOLOGIA,4,BÁSICA
ART105,HISTORIA DEL ARTE,4,BÁSICA
ART107,ARTE TURISTICO,4,BÁSICA
ART108,HISTORIA DEL ARTE II,4,BÁSICA
ART109,ARTE TURISTICO UNIVERSAL,4,BÁSICA
ART111,EDUCACION VISUAL,4,BÁSICA
ART112,DISEÑO BASICO,4,BÁSICA
ART113,TECNICAS DE MATERIALES,4,BÁSICA
ART114,IMPRIMACION,4,BÁSICA
ART120,DISEÑO II (3D),3,BÁSICA
ART121,DIBUJO I,4,BÁSICA
ART122,DIBUJO II,4,BÁSICA
ART124,COMPOSICION DIGITAL Y EFECTOS,4,ESPECIALIZACIÓN
ART125,FUNDAMENTOS DE DISEÑO GRAFICO,4,ESPECIALIZACIÓN
ART126,COMPOSICIÓN VISUAL,4,BÁSICA
ART127,DISEÑO GRÁFICO Y DIBUJO ARTÍSTICO,4,ESPECIALIZACIÓN
ART128,DIBUJO ARTISTICO I,4,ESPECIALIZACIÓN
ART131,TEORIA DEL COLOR,4,BÁSICA
ART133,TEORIA DE LA IMAGEN,4,BÁSICA
ART151,DIBUJO II,4,BÁSICA
ART161,ANATOMIA ARTISTICA,4,BÁSICA
ART181,TÉCNICA DE LA VOZ,4,BÁSICA
ART191,EXPRESION CREATIVA,4,BÁSICA
ART200,PATRIMONIO CULTURAL,4,BÁSICA
ART201,ESCULTURA  I,4,BÁSICA
ART211,PINTURA I,4,BÁSICA
ART212,ARTE Y DIAGRAMACIÓN I,4,BÁSICA
ART226,DIBUJO ARTISTICO II,4,ESPECIALIZACIÓN
ART236,SOPORTES ALTERNATIVOS,4,BÁSICA
ART241,PINTURA II,4,BÁSICA
ART251,PINTURA III,4,BÁSICA
ART252,ESCENOGRAFIA,4,BÁSICA
ART253,ARTES GRAFICAS (MATERIA),4,BÁSICA
ART256,ARTE Y DIAGRAMACIÓN II,4,ESPECIALIZACIÓN
ART261,INVESTIGACION DE CAMPO,4,BÁSICA
ART262,ESTETICA,4,BÁSICA
ART263,ESCULTURA 1,4,BÁSICA
ART264,ESCULTURA II,4,BÁSICA
ART280,PSICOLOGIA DEL COLOR,4,ESPECIALIZACIÓN
ART301,PRODUCCION FOTOGRAFICA,4,ESPECIALIZACIÓN
ART302,FOTOGRAFIA,4,BÁSICA
ART303,MANUALIDADES,4,BÁSICA
ART309,"DISEÑO, ENVOLTURA Y EMPAQUES",4,ESPECIALIZACIÓN
ART310,SEMIÓTICA Y SEMÁNTICA,4,BÁSICA
ART326,DISEÑO GRAFICO II,4,BÁSICA
ART367,PRODUCCION FOTOGRAFICA PUBLICITARIA,4,ESPECIALIZACIÓN
ART380,SEÑALETICA,4,ESPECIALIZACIÓN
ASS151,VESTUARIO,4,BÁSICA
AYB100,SEGURIDAD E HIGIENE EN B Y R,4,ESPECIALIZACIÓN
CEC169,DESARROLLO DE AEREAS  PROTEGIDAS,4,BÁSICA
CEC170,SOCIOLOGIA AMBIENTAL,4,ESPECIALIZACIÓN
CEC171,ECOLOGIA,4,BÁSICA
CEC172,TURISMO Y MEDIO AMBIENTE,4,BÁSICA
CEC173,FLORA Y FAUNA,4,BÁSICA
CEC174,METEREOLOGIA,4,ESPECIALIZACIÓN
CEC175,ORNITOLOGIA Y BIODIVERSIDAD,4,ESPECIALIZACIÓN
CEC176,TRATAMIENTOS RESIDUALES GENERADOS POR OPERADOR,4,ESPECIALIZACIÓN
CEC177,BASES DE BIOLOGÍA,4,ESPECIALIZACIÓN
CEC178,BIOLOGÍA,4,BÁSICA
CEC179,RECURSOS FAUNISTICOS,4,ESPECIALIZACIÓN
CEC180,RECURSOS VEGETALES,4,ESPECIALIZACIÓN
CEC181,SIST. DE GESTIÓN MEDIOAMBIENTAL,4,ESPECIALIZACIÓN
CEC218,ECOLOGICAL RESTORATION,4,BÁSICA
CEC219,RESTAURACION DE ESPACIOS DEGRADADOS,4,ESPECIALIZACIÓN
CMP501,COMPUTACIÓN GRÁFICA I,3,BÁSICA
CMU010,PRE- RETORICA,4,BÁSICA
CMU101,RETORICA,4,BÁSICA
CMU104,ORATORIA,4,BÁSICA
CMU125,EXPRESIÓN CORPORAL (TEATRO 1),4,BÁSICA
CMU143,REDACCIÓN Y GÉNEROS PERIODÍSTICOS,4,BÁSICA
CMU144,TEORÍA DE LA COMUNICACIÓN,4,BÁSICA
CMU145,PERIODISMO INFORMATIVO E INTERPRETAT,4,ESPECIALIZACIÓN
CMU146,PERIODISMO INFORMATIVO E INTERPRETATIVO Y DE OPINIÓN,4,ESPECIALIZACIÓN
CMU210,ORGANIZACIÓN DE EVENTOS Y PROTOCOLO,4,ESPECIALIZACIÓN
CMU212,MEDIOS DE COMUNICACION (RR.HH. 1),4,ESPECIALIZACIÓN
CMU235,ETIQUETA Y PROTOCOLO,4,BÁSICA
CMU236,PROTOCOLO INTERNACIONA Y CEREMONIA,4,BÁSICA
CMU237,EVENTOS,4,BÁSICA
CMU240,CREATIVIDAD Y COMUNICACION,4,ESPECIALIZACIÓN
CMU241,REDACCION CREATIVA PUBLICITARIA,4,BÁSICA
CMU242,REDACCION PERIODISTICA,4,BÁSICA
CMU256,PRODUCCION DE MEDIOS IMPRESOS 1,4,BÁSICA
CMU257,PRODUCCION AUDIOVISUAL I (RADIO I),4,ESPECIALIZACIÓN
CMU258,PRODUCCION AUDIOVISUAL II (TV I),4,ESPECIALIZACIÓN
CMU259,PRODUCCION AUDIOVISUAL 3,4,BÁSICA
CMU260,PRODUCCION AUDIOVISUAL IV (TV II),4,ESPECIALIZACIÓN
CMU315,IMAGEN EMPRESARIAL   RR.PP II,4,ESPECIALIZACIÓN
CMU318,ASUNTOS PÚBLICOS  (EMP. INST) RR.PP.V,4,BÁSICA
CMU346,DISEÑO Y GESTIÓN DE PROYECTOS DE COMUNICACIÓN,4,ESPECIALIZACIÓN
CMU347,DISEÑO Y GESTION DE PROYECTOS DE COMUNICACIÓN,4,ESPECIALIZACIÓN
CMU348,PLANIFICACION Y EVALUACION.PROYECTOS COMUNICACIONALES,4,ESPECIALIZACIÓN
CMU356,PRODUCCION MEDIOS IMPRESOS II,4,ESPECIALIZACIÓN
CMU357,PRODUCCIÓN AUDIOVISUAL III (RADIO II),4,ESPECIALIZACIÓN
CMU358,MEDIOS IMPRESOS GRAFICOS,4,ESPECIALIZACIÓN
CMU362,PRODUCCIÓN FOTOGRÁFICA PUBLICITARIA,4,ESPECIALIZACIÓN
CNT602,PRESUPUESTO,3,BÁSICA
COM040,PRE - INFORMATICA,1,BÁSICA
COM100,MATEMATICAS PARA INFORMATICA,4,BÁSICA
COM101,INFORMATICA,4,BÁSICA
COM102,FUNDAMENTOS DE PROGRAMACION,4,BÁSICA
COM106,HERRAMIENTAS DE INFORMATICA,4,BÁSICA
COM108,INFORMATICA PARA DISEÑO GRAFICO,4,ESPECIALIZACIÓN
COM110,INFORMATICA APLICADA,4,BÁSICA
COM111,PROGRAMACION I,4,BÁSICA
COM112,PROGRAMACION II,4,BÁSICA
COM120,PROGRAMACION VISUAL I,4,BÁSICA
COM121,PROGRAMACION VISUAL II,4,BÁSICA
COM151,INVESTIGACION DE OPERACIONES,4,BÁSICA
COM161,PROGRAMACION III,4,BÁSICA
COM165,ESTRUCTURA DE DATOS,4,BÁSICA
COM211,BASE DE DATOS I,4,BÁSICA
COM212,BASE DE DATOS II,4,BÁSICA
COM221,ANALISIS Y DISEÑO DE SISTEMAS,4,BÁSICA
COM222,ANALISIS DE DATOS,4,BÁSICA
COM230,ANALISIS DE SISTEMAS,4,BÁSICA
COM231,SISTEMAS OPERATIVOS I,4,BÁSICA
COM232,ANALISIS Y DISEÑO DE SISTEMAS,4,ESPECIALIZACIÓN
COM233,PROGRAMACION ORIENTADA A OBJETOS I,4,BÁSICA
COM234,PROGRAMACION ORIENTADA A OBJETOS II,4,BÁSICA
COM235,PROGRAMACION ORIENTADA OBJETO I,4,BÁSICA
COM249,DISEÑO DE SISTEMAS,4,BÁSICA
COM250,DISEÑO DE SISTEMAS II,4,BÁSICA
COM251,INFORMATICA ESPECIAL,4,BÁSICA
COM255,SISTEMAS OPERATIVOS I,4,BÁSICA
COM261,DISEÑO DE DATOS,4,BÁSICA
COM262,PROGRAMACION IV,4,BÁSICA
COM265,PROGRAMACION IV,4,BÁSICA
COM271,SISTEMAS OPERATIVOS II,4,BÁSICA
COM272,REDES I,4,BÁSICA
COM273,REDES II,4,BÁSICA
COM280,FUNDAMENTOS DE INTERNET,4,BÁSICA
COM281,CABLEADO ESTRUCTURADO,4,ESPECIALIZACIÓN
COM282,SOFTWARE DE GESTIÓN DE REDES,4,ESPECIALIZACIÓN
COM283,ROBOTICA,4,ESPECIALIZACIÓN
COM301,SISTEMA DE INFORMACION GERENCIAL,4,BÁSICA
COM302,INGENIERIA DE SOFTWARE,4,BÁSICA
COM303,COMERCIO ELECTRÓNICO,4,ESPECIALIZACIÓN
COM304,REINGENIERÍA,4,ESPECIALIZACIÓN
COM305,ADMINISTRACION DE RECURSOS INFORMATICOS,4,BÁSICA
COM307,MULTIMEDIA,4,BÁSICA
COM308,ADMINISTRACION DE SERVIDORES WEB,4,BÁSICA
COM309,INTERNET I,4,BÁSICA
COM310,INTERNETII,4,BÁSICA
COM311,GESTION DE AUDITORIA,4,BÁSICA
COM312,PARADIGMA ORIENTADOS A OBJETOS,4,BÁSICA
COM313,ANÁLISIS Y DISEÑO DE SITIOS WEB,4,ESPECIALIZACIÓN
COM314,DISEÑO WEB I,4,ESPECIALIZACIÓN
COM315,DISEÑO WEB 2,4,ESPECIALIZACIÓN
COM316,MANEJO DE CRISIS (RR.PP. III),4,ESPECIALIZACIÓN
COM317,DISEÑO 3D I,4,ESPECIALIZACIÓN
COM318,DISEÑO 2D,4,BÁSICA
COM319,DISEÑO GRAFICO,4,BÁSICA
COM320,PROCESAMIENTO DE IMAGENES,4,BÁSICA
COM321,COMUNICACION Y REDES,4,BÁSICA
COM322,DISEÑO 3D II,4,ESPECIALIZACIÓN
COM323,ADMINISTRACIÓN DE REDES,4,ESPECIALIZACIÓN
COM325,PARADIGMA ORIENTADO A OBJETOS,4,BÁSICA
COM328,ANALISIS Y DISEÑO ORIENTADO A OBJETOS,4,BÁSICA
COM330,RUP-RATIONAL UNIFIED PROCESS,4,ESPECIALIZACIÓN
COM332,MSF-MICROSOFT SOLUTION FRAMEWORK,4,ESPECIALIZACIÓN
COM349,DISEÑO Y GESTION DE PROYECTO RR.PP.,4,ESPECIALIZACIÓN
COM350,PLANIFICACIÓN  ESTRATEGICA,4,BÁSICA
COM354,INTELIGENCIA ARTFICIAL,4,BÁSICA
COM356,TECNOLOGIA DE INFORMACION,4,BÁSICA
COM357,COMUNICACION SATELITAL,4,ESPECIALIZACIÓN
COM358,ANALISIS Y DISEÑO ORIENTADO A OBJETOS,4,BÁSICA
COM359,CONTROL DE PROYECTOS,4,BÁSICA
COM360,ADMINISTRACION DE PROYECTOS TECNOLOGICOS,4,BÁSICA
COM361,TECNOLOGIA CLIENTE SERVIDOR,4,BÁSICA
COM362,APLICACIONES ORIENTADOS A OBJETOS,4,BÁSICA
COM364,DESARROLLO DE PROYECTO,4,ESPECIALIZACIÓN
COM366,DECLARACIONES POR INTERNET,4,BÁSICA
COM369,INTERNET II,4,BÁSICA
COM370,APLICACIONES ORIENTADAS A OBJETOS I,4,BÁSICA
COM371,ORGANIZACION,4,BÁSICA
COM372,APLICACIONES ORIENTADAS A OBJETO II,4,BÁSICA
COM380,COMERCIO ELECTRONICO,4,ESPECIALIZACIÓN
COM383,TOPICOS ESPECIALES,4,ESPECIALIZACIÓN
COM384,CIRCUITOS DIGITALES,4,BÁSICA
COM385,TELECOMUNICACIONES,4,ESPECIALIZACIÓN
COM387,TRANSMISIÓN DE SEÑALES,4,ESPECIALIZACIÓN
COM400,COMPUTACION,4,BÁSICA
COM402,ADMINISTRACION CENTRO DE COMPUTOS,4,ESPECIALIZACIÓN
COM482,AUDITORIA DE SISTEMAS,4,ESPECIALIZACIÓN
COMCOR,COMPOSICION COREOGRAFICA,4,BÁSICA
CON030,PRE - CONTABILIDAD,1,BÁSICA
CON100,CONTABILIDAD I,4,BÁSICA
CON101,CONTABILIDAD FINANCIERA,4,BÁSICA
CON102,CONTABILIDAD II,4,BÁSICA
CON104,IMP. A LA RENTA PERSONAS NATURAL Y JURÍDICA,4,ESPECIALIZACIÓN
CON108,IVA E IMPUESTO CONS. ESPECIALES ICE,4,ESPECIALIZACIÓN
CON110,RÉGIMEN TRIBUTARIO,4,ESPECIALIZACIÓN
CON111,CONTABILIDAD APLICADA AL TURISMO,4,BÁSICA
CON114,AUDITORIA TRIBUTARIA I,4,ESPECIALIZACIÓN
CON120,IMPUESTO AL COMERCIO EXTERIOR Y DEV. IVA,4,ESPECIALIZACIÓN
CON125,CONTABILIDAD DE COSTOS,4,BÁSICA
CON154,CONTABILIDAD FINANCIERA  II,4,BÁSICA
CON177,CONTABILIDAD BANCARIA,4,BÁSICA
CON178,CONTABILIDAD  BANCARIA II,4,BÁSICA
CON202,CONTABILIDAD ADMINISTRATIVA,4,BÁSICA
CON215,CONTABILIDAD DE SERVICIO,4,BÁSICA
CON216,CONTABILIDAD APLICADA AL TURISMO,4,BÁSICA
CON217,CONTABILIDAD DE SEGUROS,4,ESPECIALIZACIÓN
CON218,CONTABILIDAD PARA VENDEDORES,5,BÁSICA
CON311,GESTION DE AUDITORIA,4,BÁSICA
CON312,GESTIÓN  DEL DESARROLLO HUMANO,4,ESPECIALIZACIÓN
CON345,AUDITORIA AVANZADA,4,BÁSICA
CON389,GESTION DE AUDITORIA,4,BÁSICA
CON390,AUDITORIA DE CALIDAD,4,ESPECIALIZACIÓN
CON391,EL MODELO EFQM DE LA CALIDAD,4,ESPECIALIZACIÓN
CON392,NORMA ISO 9001,4,ESPECIALIZACIÓN
CON393,NORMA ISO 14001,4,ESPECIALIZACIÓN
CUL101,ARTE DE LA CULTURA,4,BÁSICA
DAN101,PEDAGOGIA,4,BÁSICA
DAN105,BALLET I,4,BÁSICA
DAN125,BALLET II,4,BÁSICA
DAN155,BALLET III,4,BÁSICA
DAN205,DANZA CONTEMPORANEA I,4,BÁSICA
DEM101,FUNDAMENTOS DE DERECHO,4,BÁSICA
DEM102,ELEMENTOS DE DERECHO,4,BÁSICA
DEM103,CIENCIA POLÍTICA,4,ESPECIALIZACIÓN
DEM104,ASPECTOS LEGALES EN LOS NEGOCIOS,4,ESPECIALIZACIÓN
DEM105,DERECHO ADMINISTRATIVO,4,ESPECIALIZACIÓN
DEM107,LEGISLACION LABORAL,4,ESPECIALIZACIÓN
DEM109,LEY DE SEGURIDAD SOCIAL,4,ESPECIALIZACIÓN
DEM110,LEY ORGÁNICA DE FUNCIÓN JUDICIAL,4,ESPECIALIZACIÓN
DEM112,DERECHO CIVIL,4,ESPECIALIZACIÓN
DEM113,LEY DE CONTRATACIÓN PÚBLICA,4,ESPECIALIZACIÓN
DEM117,LEY  DE REGISTRO  CIVIL,4,ESPECIALIZACIÓN
DEM118,CÓDIGO PENAL,4,ESPECIALIZACIÓN
DEM120,LEY DE TRÁNSITO Y TRANSPORTE TERRESTRE,4,ESPECIALIZACIÓN
